,User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
191,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-443.0,
192,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-275.0,
193,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-1025.0,
194,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-925.0,
195,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0322947,
196,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0126846,
197,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0220158,
198,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0199746,
199,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,19.9746,
200,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-302.0,
201,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,12.6846,
202,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,32.2947,
203,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,22.0158,
204,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,16.9128,
205,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0164754,
206,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-274.0,
207,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,74.7225,
208,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,66.8493,
209,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-917.0,
210,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-274.0,
211,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0747225,
212,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,19.9746,
213,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-232.0,
214,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0246402,
215,11351073,2021-11-11 21:16:53,Spot,Sell,SLP,-338.0,
216,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,20.0475,
